                          _
  ___   ____   _ _   ___ (_)  ___   ____   _ __   ____
 / __\ / __ \ | '_ \/_  '| | / __\ / __ \ | '__\ / __ \
2018-05-26 19:02:47 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Downloading La Cueva Del Nerd feed
2018-05-26 19:02:48 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Reading files
2018-05-26 19:02:48 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - New tracks for La Cueva Del Nerd -> 0
2018-05-26 19:02:48 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Downloading Atomix Podcast feed
2018-05-26 19:02:49 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Reading files
2018-05-26 19:02:49 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - New tracks for Atomix Podcast -> 0
2018-05-26 19:02:49 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Downloading Sayonara Podcast feed
2018-05-26 19:02:49 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Reading files
2018-05-26 19:02:49 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - New tracks for Sayonara Podcast -> 0
2018-05-26 19:02:49 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Downloading El FrikiPodcast feed
2018-05-26 19:02:50 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Reading files
2018-05-26 19:02:50 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - New tracks for El FrikiPodcast -> 0
2018-05-26 19:02:50 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Downloading Comic Geekos feed
2018-05-26 19:02:51 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Reading files
2018-05-26 19:02:51 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - New tracks for Comic Geekos -> 0
2018-05-26 19:02:51 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Downloading El Café Comiquero feed
2018-05-26 19:02:52 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Reading files
2018-05-26 19:02:52 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - New tracks for El Café Comiquero -> 0
2018-05-26 19:02:52 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Downloading Capitán Pada feed
2018-05-26 19:02:53 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Reading files
2018-05-26 19:02:53 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - New tracks for Capitán Pada -> 0
2018-05-26 19:02:53 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Downloading Persona No Sekai feed
2018-05-26 19:02:53 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Reading files
2018-05-26 19:02:53 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - New tracks for Persona No Sekai -> 0
2018-05-26 19:02:53 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Downloading Desde Abajo feed
2018-05-26 19:02:54 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Reading files
2018-05-26 19:02:54 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - New tracks for Desde Abajo -> 0
